Elements,P - Total P [mgP/L],P - Soluble PO4-P [mgP/L],pH [],COD - Total [mg/L],N - Total Kjeldahl Nitrogen [mgN/L],Total suspended solids [mg/L],FeCl3(L/d),NaOH(L/d)
Effluent,10.82,8.66,2.82,56.33,3.07,59.86,1126,1112
Effluent,18.17,16.84,2.48,56.33,3.07,45.57,816,99
Effluent,5.02,2.22,6.35,56.33,3.07,42.82,627,682
Effluent,24.6,23.99,10.75,56.33,3.07,28.08,419,1725
Effluent,4.22,1.33,6.46,56.33,3.07,57.46,1007,1522
Effluent,4.6,1.74,6.36,56.33,3.07,47.69,752,945
Effluent,6.1,3.41,7.18,56.33,3.07,46.98,747,1267
Effluent,4.68,1.84,4.3,56.33,3.07,48.02,761,648
Effluent,17.66,16.28,2.52,56.33,3.07,43.11,747,8
Effluent,13.36,11.5,8.21,56.33,3.07,47.52,829,1681
Effluent,24.29,23.64,9.14,56.33,3.07,34.5,586,1412
Effluent,4.02,1.1,5.77,56.33,3.07,56.51,980,1228
Effluent,21.96,21.06,2.28,56.33,3.07,57.22,1156,359
Effluent,3.99,1.07,6.1,56.33,3.07,59.92,1070,1509
Effluent,24.6,23.99,10.29,56.33,3.07,29.82,465,1580
Effluent,5.12,2.33,5.9,56.33,3.07,40.45,565,393
Effluent,4.05,1.13,6.04,56.33,3.07,57.14,997,1336
Effluent,5.74,3.01,4.26,56.33,3.07,39.41,543,196
Effluent,5.46,2.71,6.74,56.33,3.07,42.74,629,856
Effluent,19.55,18.38,8.55,56.33,3.07,32.77,496,1093
Effluent,24.58,23.97,9.72,56.33,3.07,34.28,583,1558
Effluent,11.41,9.32,7.84,56.33,3.07,36.16,510,952
Effluent,14.53,12.8,2.62,56.33,3.07,60.43,1174,1025
Effluent,24.49,23.87,9.37,56.33,3.07,34.01,575,1436
Effluent,14.0,12.21,8.22,56.33,3.07,42.19,694,1407
Effluent,6.2,3.52,7.1,56.33,3.07,43.66,660,1062
Effluent,24.59,23.99,9.98,56.33,3.07,33.14,553,1605
Effluent,24.57,23.97,9.7,56.33,3.07,27.75,410,1187
Effluent,18.16,16.83,2.49,56.33,3.07,45.27,808,85
Effluent,7.43,4.89,6.94,56.33,3.07,35.03,443,563
Effluent,11.25,9.15,2.83,56.33,3.07,52.3,931,712
Effluent,19.3,18.1,2.41,56.33,3.07,53.79,1042,440
Effluent,13.93,12.12,2.65,56.33,3.07,59.08,1133,977
Effluent,5.79,3.08,7.1,56.33,3.07,47.24,751,1247
Effluent,24.6,23.99,10.11,56.33,3.07,33.11,552,1667
Effluent,4.69,1.85,6.51,56.33,3.07,48.04,762,1031
Effluent,3.91,0.98,6.0,56.33,3.07,62.93,1149,1644
Effluent,9.73,7.45,7.75,56.33,3.07,41.58,638,1188
Effluent,15.13,13.46,8.3,56.33,3.07,40.59,662,1361
Effluent,12.35,10.36,2.73,56.33,3.07,59.92,1141,1072
Effluent,5.64,2.9,5.64,56.33,3.07,37.32,487,177
Effluent,17.93,16.57,2.48,56.33,3.07,54.1,1038,543
Effluent,24.51,23.89,9.4,56.33,3.07,38.08,683,1672
Effluent,7.3,4.76,3.2,56.33,3.07,49.78,830,673
Effluent,15.62,14.01,2.59,56.33,3.07,52.72,981,586
Effluent,5.43,2.67,3.66,56.33,3.07,48.39,777,643
Effluent,4.32,1.43,5.91,56.33,3.07,49.38,794,873
Effluent,21.06,20.06,8.67,56.33,3.07,42.62,771,1702
Effluent,20.93,19.91,2.33,56.33,3.07,57.68,1159,504
Effluent,14.84,13.14,2.62,56.33,3.07,52.72,974,618
Effluent,5.3,2.53,6.57,56.33,3.07,42.16,612,746
Effluent,5.46,2.7,4.03,56.33,3.07,42.46,621,347
Effluent,6.16,3.48,3.43,56.33,3.07,48.57,788,635
Effluent,17.85,16.48,2.5,56.33,3.07,46.48,837,163
Effluent,17.09,15.64,2.51,56.33,3.07,56.33,1089,702
Effluent,3.95,1.03,6.01,56.33,3.07,60.8,1093,1529
Effluent,19.72,18.56,8.56,56.33,3.07,32.33,486,1075
Effluent,8.18,5.73,7.66,56.33,3.07,49.23,826,1551
Effluent,3.99,1.07,5.77,56.33,3.07,57.35,1002,1274
Effluent,4.63,1.78,6.46,56.33,3.07,48.32,769,1026
Effluent,24.01,23.33,9.01,56.33,3.07,31.99,517,1244
Effluent,4.18,1.29,6.2,56.33,3.07,54.37,925,1242
Effluent,4.16,1.26,6.15,56.33,3.07,54.65,932,1240
Effluent,14.31,12.55,8.15,56.33,3.07,34.68,498,994
Effluent,5.78,3.06,7.25,56.33,3.07,54.45,942,1690
Effluent,5.19,2.41,6.87,56.33,3.07,48.01,766,1197
Effluent,24.6,23.99,10.56,56.33,3.07,28.95,442,1670
Effluent,12.97,11.06,2.7,56.33,3.07,59.25,1129,1018
Effluent,4.73,1.89,6.44,56.33,3.07,46.67,726,924
Effluent,4.96,2.15,6.98,56.33,3.07,55.65,966,1653
Effluent,6.35,3.69,7.06,56.33,3.07,41.53,605,933
Effluent,8.84,6.46,3.09,56.33,3.07,44.75,711,391
Effluent,4.92,2.11,3.56,56.33,3.07,61.7,1124,1354
Effluent,21.4,20.43,2.31,56.33,3.07,51.16,992,119
Effluent,4.39,1.51,6.06,56.33,3.07,48.83,780,889
Effluent,16.12,14.56,2.55,56.33,3.07,58.98,1150,885
Effluent,17.95,16.59,2.48,56.33,3.07,49.53,918,310
Effluent,4.38,1.5,4.25,56.33,3.07,53.95,915,967
Effluent,10.72,8.56,7.93,56.33,3.07,44.78,732,1418
Effluent,8.36,5.93,7.35,56.33,3.07,36.82,499,812
Effluent,21.52,20.57,2.31,56.33,3.07,49.94,961,43
Effluent,24.53,23.91,9.46,56.33,3.07,32.9,546,1398
Effluent,22.76,21.95,2.23,56.33,3.07,57.55,1172,243
Effluent,20.6,19.54,2.36,56.33,3.07,49.42,939,113
Effluent,4.16,1.26,6.23,56.33,3.07,55.36,951,1308
Effluent,11.78,9.74,2.82,56.33,3.07,48.13,826,488
Effluent,22.18,21.3,8.74,56.33,3.07,34.98,579,1320
Effluent,20.56,19.5,2.35,56.33,3.07,55.98,1111,452
Effluent,22.27,21.4,2.26,56.33,3.07,53.3,1056,113
Effluent,22.54,21.71,2.24,56.33,3.07,53.63,1067,83
Effluent,4.42,1.55,6.68,56.33,3.07,57.16,1001,1605
Effluent,19.82,18.68,2.39,56.33,3.07,55.09,1081,468
Effluent,5.84,3.12,7.01,56.33,3.07,44.54,680,1072
Effluent,11.55,9.48,2.78,56.33,3.07,60.03,1137,1101
Effluent,4.09,1.18,5.98,56.33,3.07,55.31,949,1218
Effluent,19.61,18.45,2.41,56.33,3.07,46.18,845,32
Effluent,4.57,1.71,3.85,56.33,3.07,57.23,1003,1130
